Date, Total current assets, Total assets, Total current liabilities, Total liabilities, Total shareholder's equity,Total shares outstanding (common shares), Dividend, Net income,Debt Equity,Current Ratio,EPS,Book Value
 13/05/2002,57126000.000,395512000.000,14559000.000,184197000.000,211315000.000,67722853.000,0.020,8515000.000,0.872,3.924,-0.117,3.120
 13/05/2002,65052000.000,420547000.000,11711000.000,214789000.000,205758000.000,68251002.000,0.020,477000.000,1.044,5.555,-0.105,3.015
 02/08/2002,70967000.000,434960000.000,17814000.000,219847000.000,215113000.000,69431401.000,0.020,3360000.000,1.022,3.984,0.110,3.098
 25/10/2002,49930000.000,433491000.000,13321000.000,214991000.000,218500000.000,69722269.000,0.020,630000.000,0.984,3.748,0.190,3.134
 23/04/2003,189514000.000,586418000.000,15542000.000,190353000.000,396065000.000,83767794.000,0.030,-10704000.000,0.481,12.194,-0.063,4.728
 06/05/2003,187821000.000,584313000.000,15542000.000,45369000.000,538944000.000,83767794.000,0.030,-3564000.000,0.084,12.085,-0.113,6.434
 08/08/2003,172649000.000,582457000.000,16455000.000,47426000.000,535031000.000,83902863.000,0.030,-3423000.000,0.089,10.492,-0.202,6.377
 24/11/2003,160456000.000,593545000.000,18109000.000,59857000.000,533688000.000,83902863.000,0.030,-5809000.000,0.112,8.861,-0.280,6.361
 19/04/2004,263437000.000,621755000.000,80001000.000,80001000.000,541754000.000,83902863.000,0.030,5334000.000,0.148,3.293,-0.089,6.457
 11/05/2004,179667000.000,642203000.000,28157000.000,86947000.000,555256000.000,84596533.000,0.030,14327000.000,0.157,6.381,0.123,6.564
 10/08/2004,172506000.000,650589000.000,25612000.000,86273000.000,564316000.000,84757429.000,0.030,9021000.000,0.153,6.735,0.270,6.658
 28/10/2004,200078000.000,687523000.000,27807000.000,238788000.000,448735000.000,85828481.000,0.030,10556000.000,0.532,7.195,0.462,5.228
 31/03/2005,211797000.000,718164000.000,34492000.000,247938000.000,470226000.000,86072779.000,0.030,13975000.000,0.527,6.140,0.561,5.463
 13/05/2005,214767000.000,730464000.000,29850000.000,247579000.000,482885000.000,86192939.000,0.030,10449000.000,0.513,7.195,0.513,5.602
 12/08/2005,208485000.000,736355000.000,24441000.000,240059000.000,496296000.000,86268696.000,0.030,12794000.000,0.484,8.530,0.555,5.753
 14/11/2005,225437000.000,766727000.000,28398000.000,255656000.000,511071000.000,86864554.000,0.030,2057000.000,0.500,7.938,0.456,5.884
 21/03/2006,338490000.000,976069000.000,17488000.000,321002000.000,655067000.000,89030000.000,0.030,11694000.000,0.490,19.356,0.425,7.358
 12/05/2006,264907000.000,1066184000.000,28491000.000,180446000.000,885738000.000,111424876.000,0.030,37190000.000,0.204,9.298,0.637,7.949
 11/08/2006,552570000.000,1362174000.000,50616000.000,197057000.000,1165117000.000,120111883.000,0.030,37092000.000,0.169,10.917,0.798,9.700
 10/11/2006,551035000.000,1413259000.000,44195000.000,192453000.000,1220806000.000,120738053.000,0.030,45203000.000,0.158,12.468,1.148,10.111
 30/03/2007,839898000.000,1491701000.000,44195000.000,239296000.000,1252405000.000,115461000.000,0.030,41852000.000,0.191,19.004,1.379,10.847
 15/05/2007,600018000.000,1535457000.000,55663000.000,247941000.000,1287516000.000,121209748.000,0.120,24922000.000,0.193,10.779,1.251,10.622
 13/08/2007,665444000.000,2411346000.000,89729000.000,591105000.000,1820241000.000,133824169.000,0.120,37809000.000,0.325,7.416,1.225,13.602
 13/11/2007,603295000.000,2531554000.000,93243000.000,637630000.000,1893924000.000,135893339.000,0.120,11452000.000,0.337,6.470,0.935,13.937
 28/03/2008,606094000.000,2735498000.000,134507000.000,676564000.000,2058934000.000,142403379.000,0.180,65162000.000,0.329,4.506,1.030,14.458
 13/05/2008,521118000.000,2819484000.000,130602000.000,693875000.000,2125609000.000,143690233.000,0.180,28908000.000,0.326,3.990,1.026,14.793
 13/08/2008,391167000.000,2976867000.000,172418000.000,839533000.000,2137334000.000,143752762.000,0.180,8347000.000,0.393,2.269,0.801,14.868
 12/11/2008,397132000.000,3221864000.000,192425000.000,1058297000.000,2163567000.000,143874312.000,0.180,14038000.000,0.489,2.064,0.814,15.038
 31/03/2009,351294000.000,3378824000.000,173059000.000,861068000.000,2517756000.000,154808918.000,0.180,21874000.000,0.342,2.030,0.498,16.264
 13/05/2009,451270000.000,3630004000.000,117928000.000,1011241400.000,2618759000.000,155656432.000,0.180,54341000.000,0.386,3.827,0.646,16.824
 13/08/2009,477726000.000,3812633000.000,138103000.000,1145588000.000,2667045000.000,155968644.000,0.180,12270000.000,0.430,3.459,0.667,17.100
 12/11/2009,610771000.000,4113303000.000,179161000.000,1426615000.000,2686688000.000,156449176.000,0.180,-16966000.000,0.531,3.409,0.461,17.173
 26/03/2010,604040000.000,4247357000.000,190460000.000,1495596000.000,2751761000.000,156625174.000,0.180,36893000.000,0.544,3.171,0.555,17.569
